testSeq,testFORM,AccNum
160,2012_3,PTE3407
157,2014_2,PTE3407
159,2013_2,PTE3412
160,2015_1,PTE3412
161,2012_3,PTE3413
159,2014_3,PTE3413
161,2012_1,PTE3414
158,2015_3,PTE3414
160,2013_2,PTE3415
161,2015_2,PTE3415
161,2013_2,PTE3417
162,2015_2,PTE3417
162,2012_1,PTE3421
160,2014_3,PTE3421
162,2012_3,PTE3423
157,2014_1,PTE3423
159,2013_1,PTE3424
163,2015_2,PTE3424
163,2012_1,PTE3426
160,2014_2,PTE3426
163,2012_3,PTE3429
161,2014_3,PTE3429
165,2012_1,PTE3435
161,2015_1,PTE3435
222,2012_3,PTE3439
212,2013_1,PTE3439
164,2012_2,PTE3444
237,2015_2,PTE3444
162,2013_1,PTE3445
161,2015_3,PTE3445
165,2012_2,PTE3448
163,2015_1,PTE3448
163,2013_1,PTE3454
164,2015_2,PTE3454
166,2012_2,PTE3457
162,2014_1,PTE3457
167,2012_2,PTE3458
166,2014_2,PTE3458
166,2012_1,PTE3463
164,2015_1,PTE3463
166,2013_2,PTE3464
162,2015_3,PTE3464
67,2013_1,PTE35
66,2015_2,PTE35
167,2013_2,PTE3502
165,2015_2,PTE3502
169,2013_3,PTE3510
167,2015_2,PTE3510
169,2013_2,PTE3512
166,2015_1,PTE3512
172,2012_2,PTE3518
165,2014_1,PTE3518
168,2013_1,PTE3548
169,2015_3,PTE3548
170,2012_3,PTE3549
166,2014_1,PTE3549
170,2012_1,PTE3555
171,2014_3,PTE3555
173,2013_2,PTE3561
171,2015_2,PTE3561
173,2012_2,PTE3566
170,2015_1,PTE3566
26,2012_1,PTE3584
22,2015_2,PTE3584
21,2013_1,PTE3586
26,2015_3,PTE3586
34,2013_3,PTE3603
28,2015_3,PTE3603
90,2012_3,PTE3614
91,2014_3,PTE3614
90,2013_3,PTE3615
91,2015_2,PTE3615
171,2012_2,PTE3629
167,2015_1,PTE3629
90,2012_2,PTE3631
91,2014_1,PTE3631
91,2012_2,PTE3636
90,2014_2,PTE3636
91,2012_1,PTE3639
92,2014_3,PTE3639
93,2013_2,PTE3643
92,2015_2,PTE3643
92,2012_1,PTE3646
92,2014_1,PTE3646
94,2013_2,PTE3649
93,2015_3,PTE3649
94,2013_3,PTE3650
94,2015_3,PTE3650
95,2012_1,PTE3660
94,2014_1,PTE3660
96,2012_1,PTE3663
95,2015_3,PTE3663
171,2013_3,PTE3669
167,2015_3,PTE3669
94,2012_3,PTE3677
95,2014_3,PTE3677
92,2012_2,PTE3679
96,2014_3,PTE3679
97,2013_3,PTE3684
90,2015_1,PTE3684
95,2012_3,PTE3686
96,2014_2,PTE3686
97,2012_1,PTE3687
91,2015_1,PTE3687
98,2013_3,PTE3688
95,2015_2,PTE3688
96,2013_1,PTE3689
225,2015_1,PTE3689
97,2013_2,PTE3692
98,2015_3,PTE3692
94,2012_2,PTE3693
98,2014_1,PTE3693
169,2012_2,PTE3715
164,2014_1,PTE3715
106,2013_2,PTE3730
102,2015_1,PTE3730
105,2012_2,PTE3732
107,2014_2,PTE3732
106,2012_2,PTE3736
106,2014_3,PTE3736
106,2012_3,PTE3743
107,2014_3,PTE3743
208,2012_2,PTE3748
230,2015_1,PTE3748
108,2012_1,PTE3749
107,2014_1,PTE3749
107,2012_3,PTE3750
108,2014_1,PTE3750
107,2012_2,PTE3752
105,2015_1,PTE3752
108,2012_2,PTE3753
108,2014_3,PTE3753
108,2012_3,PTE3755
231,2015_1,PTE3755
108,2013_2,PTE3761
107,2015_1,PTE3761
209,2012_2,PTE3762
209,2013_3,PTE3762
225,2015_2,PTE3762
212,2012_2,PTE3770
210,2013_3,PTE3770
218,2012_3,PTE3771
207,2013_2,PTE3771
218,2012_1,PTE3772
211,2013_3,PTE3772
221,2012_3,PTE3782
237,2015_3,PTE3782
89,2013_2,PTE3832
88,2015_2,PTE3832
88,2013_1,PTE3833
89,2015_2,PTE3833
90,2013_2,PTE3838
87,2015_1,PTE3838
88,2013_3,PTE3846
88,2015_1,PTE3846
89,2012_3,PTE3848
89,2015_1,PTE3848
91,2013_1,PTE3849
90,2015_2,PTE3849
214,2013_1,PTE3855
238,2015_1,PTE3855
228,2012_3,PTE3856
222,2013_1,PTE3856
229,2012_1,PTE3857
220,2013_2,PTE3857
239,2015_1,PTE3857
227,2012_2,PTE3858
226,2013_1,PTE3858
230,2012_3,PTE3859
227,2013_1,PTE3859
238,2015_2,PTE3859
231,2012_1,PTE3860
228,2013_1,PTE3860
239,2015_2,PTE3860
228,2012_2,PTE3861
221,2013_3,PTE3861
231,2012_3,PTE3862
221,2013_2,PTE3862
240,2015_2,PTE3862
210,2012_2,PTE403
205,2013_1,PTE403
1,2013_3,PTE409
2,2015_2,PTE409
2,2013_2,PTE419
1,2015_1,PTE419
4,2012_3,PTE436
3,2014_3,PTE436
68,2013_1,PTE44
74,2015_3,PTE44
74,2012_3,PTE45
206,2015_1,PTE45
158,2012_2,PTE455
160,2015_2,PTE455
77,2012_3,PTE46
81,2014_2,PTE46
166,2012_3,PTE470
164,2015_3,PTE470
237,2012_1,PTE528
237,2013_1,PTE528
8,2012_1,PTE541
6,2015_1,PTE541
77,2012_2,PTE56
78,2014_3,PTE56
9,2012_2,PTE566
8,2014_1,PTE566
5,2013_3,PTE582
10,2015_2,PTE582
78,2012_2,PTE59
78,2014_1,PTE59
79,2012_2,PTE60
207,2015_1,PTE60
78,2012_1,PTE61
82,2014_2,PTE61
12,2012_3,PTE619
8,2014_3,PTE619
11,2012_2,PTE625
11,2014_1,PTE625
78,2012_3,PTE64
79,2014_1,PTE64
72,2013_2,PTE66
72,2015_1,PTE66
79,2012_3,PTE67
73,2015_1,PTE67
75,2013_3,PTE69
74,2015_1,PTE69
13,2013_1,PTE717
14,2015_2,PTE717
14,2013_1,PTE719
15,2015_2,PTE719
15,2013_2,PTE743
15,2015_1,PTE743
74,2013_2,PTE75
76,2015_1,PTE75
16,2012_3,PTE750
16,2014_2,PTE750
14,2012_2,PTE753
17,2014_1,PTE753
79,2012_1,PTE76
74,2015_2,PTE76
80,2012_2,PTE79
84,2014_2,PTE79
81,2012_1,PTE80
77,2015_1,PTE80
80,2012_3,PTE81
79,2014_3,PTE81
76,2013_3,PTE82
78,2015_1,PTE82
236,2012_3,PTE834
236,2013_1,PTE834
7,2012_2,PTE846
6,2014_3,PTE846
77,2013_2,PTE86
75,2015_2,PTE86
82,2012_2,PTE87
81,2014_3,PTE87
78,2013_2,PTE88
76,2015_2,PTE88
21,2012_1,PTE898
21,2015_1,PTE898
79,2013_2,PTE90
79,2015_3,PTE90
22,2013_2,PTE904
22,2015_3,PTE904
21,2012_2,PTE907
23,2015_3,PTE907
23,2012_1,PTE908
180,2015_3,PTE908
19,2012_3,PTE917
20,2014_2,PTE917
80,2013_2,PTE92
79,2015_1,PTE92
24,2012_1,PTE924
24,2014_3,PTE924
75,2013_1,PTE93
77,2015_2,PTE93
25,2012_1,PTE931
18,2014_1,PTE931
23,2012_3,PTE944
19,2014_1,PTE944
27,2013_3,PTE951
23,2015_1,PTE951
24,2013_2,PTE958
24,2015_2,PTE958
30,2012_1,PTE966
22,2014_2,PTE966
31,2012_1,PTE968
22,2014_1,PTE968
84,2012_2,PTE97
83,2014_3,PTE97
30,2013_3,PTE989
25,2015_2,PTE989
83,2012_3,PTE99
212,2015_3,PTE99
26,2013_2,PTE993
26,2015_2,PTE993
31,2013_3,PTE997
27,2015_3,PTE997
14,2012_3,PTE03
16,2012_1,PTE06
17,2014_3,PTE08
81,2014_1,PTE100
32,2013_3,PTE1000
28,2013_2,PTE1002
25,2013_1,PTE1006
33,2013_3,PTE1007
29,2012_3,PTE1008
187,2014_3,PTE101
25,2014_2,PTE1010
31,2013_2,PTE1011
26,2013_1,PTE1013
28,2015_2,PTE1016
32,2014_3,PTE1017
26,2014_2,PTE1018
180,2014_1,PTE1023
33,2013_2,PTE1024
27,2013_1,PTE1025
26,2015_1,PTE1032
28,2014_2,PTE1034
27,2014_1,PTE1037
28,2014_1,PTE1039
84,2014_3,PTE104
33,2012_1,PTE1040
31,2015_2,PTE1041
193,2015_3,PTE1046
29,2013_1,PTE1047
188,2014_3,PTE105
30,2012_2,PTE1052
31,2014_2,PTE1053
31,2014_1,PTE1057
32,2012_2,PTE1059
33,2012_2,PTE1062
34,2014_3,PTE1063
34,2012_1,PTE1066
195,2015_3,PTE1067
34,2012_2,PTE1068
33,2015_2,PTE1069
33,2015_3,PTE1070
31,2013_1,PTE1072
34,2014_2,PTE1074
35,2012_1,PTE1076
34,2015_2,PTE1083
196,2015_3,PTE1084
36,2012_1,PTE1086
188,2015_1,PTE1088
32,2014_1,PTE1090
34,2015_3,PTE1093
35,2015_2,PTE1094
36,2013_2,PTE1097
189,2015_1,PTE1099
176,2015_1,PTE11
190,2015_1,PTE1103
37,2013_2,PTE1104
35,2014_2,PTE1105
81,2015_3,PTE111
38,2013_2,PTE1111
38,2012_1,PTE1113
34,2013_1,PTE1116
33,2014_1,PTE1120
35,2015_3,PTE1125
36,2014_3,PTE1127
36,2015_2,PTE1128
85,2014_2,PTE113
191,2015_1,PTE1130
35,2012_2,PTE1132
37,2014_3,PTE1137
36,2015_3,PTE1138
80,2013_3,PTE114
34,2014_1,PTE1141
36,2014_1,PTE1144
38,2014_3,PTE1147
39,2013_3,PTE1148
198,2012_3,PTE115
35,2013_1,PTE1150
29,2015_1,PTE1152
